occupants,plug_loads_other,plug_loads_tv,lighting_interior,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.706,0.363,0.365,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.639,0.201,0.218,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.634,0.189,0.207,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.665,0.162,0.184,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.667,0.16,0.182,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.618,0.0927,0.12,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.614,0.0879,0.116,0.0,0.0,0.0,0.0,0.087,0,0,0,0
1.0,0.608,0.0454,0.0768,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0424,0.074,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0424,0.074,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0424,0.074,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0271,0.0587,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.026,0.0576,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.026,0.0576,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.026,0.0576,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.565,0.0165,0.0499,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.605,0.0198,0.0511,0.0,0.0,0.0,0.0,0.261,0,0,0,0
1.0,0.608,0.02,0.0512,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.02,0.0512,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.02,0.0512,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0256,0.0809,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.026,0.0831,0.0,0.0,0.0,0.0,0.0,0,0,0,0
