occupants,plug_loads_other,plug_loads_tv,lighting_interior,lighting_garage,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.293,0.665,0.107,0.216,0.216,0.0,0.0,0.0,0.0,0.168,0,0,0,0
0.4,0.703,0.14,0.276,0.276,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.714,0.154,0.314,0.314,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.4,0.726,0.17,0.356,0.356,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.4,0.726,0.17,0.356,0.356,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.4,0.726,0.17,0.356,0.356,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.4,0.73,0.196,0.388,0.388,0.0,0.0,0.0,0.0,0.168,0,0,0,0
0.4,0.734,0.226,0.424,0.424,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.493,0.774,0.275,0.512,0.512,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.693,0.861,0.38,0.699,0.699,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.8,0.899,0.517,0.796,0.796,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.893,0.929,0.679,0.878,0.878,0.0,0.0,0.0,0.0,0.0858,0,0,0,0
1.0,0.973,0.758,0.977,0.977,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.973,0.758,0.977,0.977,0.0,0.0,0.0,0.0,0.0328,0,0,0,0
