Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-22 16:00:00,0.32915980722502314,0.10886905875871435,0.12657873873873873,0.1302415193820289,0.12806208333333335,0.014242204509660857,0.006614,0.05,0.12657873873873873,0.0,0.0,51.66666666666668,18.047143371183704,-0.059948373235803785
2025-01-22 17:00:00,0.33427441813888137,0.11200016702634488,0.12657873873873873,0.13441633040553627,0.12806208333333335,0.015182004400011734,0.006614,0.05,0.12657873873873873,0.0,0.0,51.66666666666668,18.0344448610772,-0.06009752648419351
2025-01-22 18:00:00,0.2569495548275356,0.11356572116016016,0.04746702702702702,0.13650373591728998,0.04802328125,0.01580853766024565,0.006614,0.05,0.04746702702702702,0.0,0.0,51.66666666666668,16.798659357978874,-0.036636042860786144
2025-01-22 19:00:00,0.8060969081272058,0.12110447698749,0.058784499377098745,0.6349919726081514,0.056027161458333335,0.05846377406072108,0.006614,0.05,0.0553781981981982,0.0034063011789005515,0.0,51.66666666666668,16.406946455497522,-0.04577206484828015
2025-01-22 20:00:00,0.7549235537663929,0.13168877697733372,0.08702288288288289,0.5054173985777537,0.08804268229166667,0.10484947289697258,0.006614,0.05,0.08702288288288289,0.0,0.0,51.66666666666668,16.369972746069678,-0.06734785551835852
2025-01-22 21:00:00,0.5095363563880415,0.1274719180829766,0.09042918406178344,0.28128070675561134,0.08804268229166667,0.08359896734076343,0.006614,0.05,0.08702288288288289,0.0034063011789005515,0.0,51.66666666666668,16.396138376741185,-0.05525442539342042
2025-01-22 22:00:00,0.4526403987756149,0.12175352080898989,0.09707511724875148,0.23806483417288868,0.08804268229166667,0.06991888231105955,0.006614,0.05,0.08702288288288289,0.0100522343658686,0.0,51.66666666666668,16.43851779074965,-0.050738401671945224
2025-01-22 23:00:00,0.38928395542083005,0.11456020594473361,0.1107563963963964,0.1779269225232521,0.11205432291666667,0.04268870998091125,0.006614,0.05,0.1107563963963964,0.0,0.0,51.66666666666668,16.44708332683589,-0.05121830110501223
2025-01-23 00:00:00,0.2926562087380654,0.10573795049108381,0.09493405405405404,0.12606670835852152,0.0960465625,0.013928937879543897,0.006614,0.05,0.09493405405405404,0.0,0.0,51.66666666666668,16.41533380798341,-0.04695616641996082
2025-01-23 01:00:00,0.3233930768429342,0.10495517342417617,0.12657873873873873,0.12502300560264465,0.12806208333333335,0.013693987906956178,0.006614,0.05,0.12657873873873873,0.0,0.0,51.66666666666668,16.417217621891105,-0.05506327000066348
2025-01-23 02:00:00,0.3223493740870573,0.10417239635726853,0.12657873873873873,0.12397930284676781,0.12806208333333335,0.013693987906956178,0.006614,0.05,0.12657873873873873,0.0,0.0,51.66666666666668,16.399975052616945,-0.054983038919194656
2025-01-23 03:00:00,0.40118784009945535,0.10338961929036089,0.20569045045045045,0.12293560009089097,0.2081008854166667,0.013537354591897699,0.006614,0.05,0.20569045045045045,0.0,0.0,51.66666666666668,17.981025072024224,-0.09186493784352218
2025-01-23 04:00:00,0.33611309567691183,0.10260684222345326,0.14240108108108107,0.12189189733501411,0.14406984375,0.013537354591897699,0.006614,0.05,0.14240108108108107,0.0,0.0,51.66666666666668,18.07383826972921,-0.058699884612382174
2025-01-23 05:00:00,0.3604380029320288,0.10260684222345326,0.1661345945945946,0.12189189733501411,0.168081484375,0.013850621222014657,0.006614,0.05,0.1661345945945946,0.0,0.0,51.66666666666668,18.003365262022623,-0.07111978734595965
2025-01-23 06:00:00,0.32289759068976204,0.10417239635726853,0.12657873873873873,0.12397930284676781,0.12806208333333335,0.014242204509660857,0.006614,0.05,0.12657873873873873,0.0,0.0,51.66666666666668,18.01903854508524,-0.0630682742029976
2025-01-23 07:00:00,0.405204055639253,0.11409687835014685,0.2092498703070849,0.14548337359019767,0.1600776041666667,0.043029077882388654,0.006614,0.05,0.1582234234234234,0.05102644688366149,0.0,51.66666666666668,17.992843724377956,-0.07808308066667037
2025-01-23 08:00:00,0.4189023430719337,0.11977788065930799,0.19202026129890104,0.1594004206376878,0.14406984375,0.05881807868424586,0.006614,0.05,0.14240108108108107,0.049619180217819955,0.0,51.66666666666668,17.962089953146304,-0.07995181906207018
2025-01-23 09:00:00,0.36733706844867503,0.11104626174920391,0.14580979367167501,0.13838350237521732,0.14406984375,0.028269722323457626,0.006614,0.05,0.14240108108108107,0.003408712590593934,0.0,51.66666666666668,18.01327617352825,-0.06602655491910661
2025-01-23 10:00:00,0.3769589387512366,0.10911879073981313,0.1582234234234234,0.13596302466947605,0.1600776041666667,0.02430430991509382,0.006614,0.05,0.1582234234234234,0.0,0.0,51.66666666666668,17.999301744593904,-0.07169438888020566
2025-01-23 11:00:00,0.3234186630509309,0.10573795049108381,0.12657873873873873,0.12606670835852152,0.12806208333333335,0.01267587135907606,0.006614,0.05,0.12657873873873873,0.0,0.0,51.66666666666668,18.043326010477056,-0.058564503034910766
