Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-05 01:00:00,0.17763425282272444,0.09395824700307813,0.0,0.1114371073917744,0.0,0.016197145430950053,0.05,0.0,0.0,52.32799947552875,18.016322238792736,0.0
2025-01-05 02:00:00,0.16972436622693376,0.09077859745943603,0.0,0.10523421002570411,0.0,0.014490156201229653,0.05,0.0,0.0,51.11267478776973,17.87032759054665,-0.00396476348572931
2025-01-05 03:00:00,0.16851005765965343,0.0899958203925284,0.0,0.10419050726982727,0.0,0.014319550389826146,0.05,0.0,0.0,49.94996829582533,17.725002519860368,-0.10833081347300393
2025-01-05 04:00:00,0.33757395961116565,0.09580444263664051,0.0696859276771388,0.27251298965691545,0.0,0.015060969954250157,0.05,0.0696859276771388,0.0,51.432802673822835,17.60405542557206,-0.22927790776131438
2025-01-05 05:00:00,0.513684350878244,0.09681691463112317,0.030971523412061684,0.4354251494126868,0.0,0.028259201465557292,0.05,0.030971523412061684,0.0,51.80925640551847,17.68676254732668,-0.14657078600669174
2025-01-05 06:00:00,0.551684604917672,0.10026277389754909,0.023228642559046265,0.4441352528574247,0.0,0.05754935206024737,0.05,0.023228642559046265,0.0,51.2109073511523,17.710304794242763,-0.12302853909060639
2025-01-05 07:00:00,0.5617685541066099,0.1025101969256078,0.030971523412061684,0.44901504420375604,0.0,0.06275350990285382,0.05,0.030971523412061684,0.0,50.56542497656428,17.747019381299154,-0.0863139520342178
2025-01-05 08:00:00,0.558486000205337,0.1026524304858019,0.023228642559046265,0.4502064056043622,0.0,0.05827959460097482,0.05,0.023228642559046265,0.0,51.550688757785636,17.690295134274592,-0.14303819905878168
2025-01-05 09:00:00,0.629607708603092,0.19063708592818862,0.015485761706030842,0.3782313986893231,0.13320566909113274,0.0681706408226361,0.05,0.015485761706030842,0.0,50.65890087456176,17.63969905371325,-0.1936342796201202
2025-01-05 10:00:00,0.9436904336471214,0.574207674771989,0.015485761706030842,0.1203828677527812,0.7391148727170058,0.034192693177334345,0.05,0.015485761706030842,0.0,51.653177314235755,18.165421675648464,-0.0027770525397395216
2025-01-05 11:00:00,0.17070283396456468,0.09234415159325132,0.0,0.10732161553745782,0.0,0.013381218427106847,0.05,0.0,0.0,50.44455043593124,17.68931646769393,-0.14829061866961968
2025-01-05 12:00:00,0.8161788208411053,0.49936443419971616,0.030971523412061684,0.11786245682923985,0.6237342966511806,0.02458206736068487,0.05,0.030971523412061684,0.0,50.29795981844793,18.151589235501888,-0.03181833242716099
2025-01-05 13:00:00,0.18020888780075042,0.09483952694648944,0.0,0.11248049312755333,0.0,0.017728394673197093,0.05,0.0,0.0,51.6135122677319,17.909647200348875,-0.003548550531497637
2025-01-05 14:00:00,0.17330205691052888,0.09390970572706658,0.0,0.1094090210492115,0.0,0.013893035861317373,0.05,0.0,0.0,50.43363478573671,17.731529115855388,-0.10180421747798268
2025-01-05 15:00:00,0.7606220679518967,0.4728968424501631,0.0,0.10836531829333466,0.5879371992687358,0.014319550389826146,0.05,0.0,0.0,49.29164380155671,17.908850181907415,-0.1332409379018585
